,0
0,aaaa-100
1,acct-351
2,acct-352
3,acct-354
4,acct-361
5,acct-362
6,acct-385
7,acct-401
8,acct-434
9,acct-451
10,acct-452
11,acct-453
12,acct-455
13,acct-463
14,acct-475
15,acct-486
16,acct-604
17,acct-605
18,acct-618
19,acct-622
20,acct-623
21,acct-624
22,acct-625
23,acct-626
24,acct-645
25,acct-645D1
26,acct-645D2
27,acct-653
28,acct-653D1
29,acct-653D2
30,acct-654
31,acct-654D1
32,acct-654D2
33,acct-663
34,acct-663D1
35,acct-663D2
36,acct-664
37,acct-664D1
38,acct-664D2
39,acct-683
40,acct-687
41,acct-689
42,acct-690
43,acct-695
44,acct-696
45,acct-699
46,acct-705
47,acct-706
48,acct-707
49,aebi-120
50,aebi-122
51,aebi-210
52,aebi-211
53,aebi-212
54,aebi-421
55,aebi-423
56,aebi-425
57,aebi-427
58,aech-110
59,aech-111
60,aech-118
61,aech-119
62,aehm-205
63,aehm-330
64,aema-101
65,aema-102
66,aema-105
67,aema-202
68,aema-305
69,aema-310
70,aema-403
71,aema-411
72,aema-414
73,aema-610
74,aema-611
75,aema-614
76,aeph-112
77,aeph-113
78,aeph-114
79,aeph-115
80,aeph-120
81,aeph-122
82,aero-401
83,aero-410
84,aero-460D1
85,aero-460D2
86,afri-200
87,afri-401
88,afri-480
89,afri-481
90,afri-499
91,afri-598
92,agec-200
93,agec-201
94,agec-231
95,agec-242
96,agec-320
97,agec-330
98,agec-332
99,agec-333
100,agec-425
101,agec-430
102,agec-442
103,agec-450
104,agec-491
105,agec-492
106,agec-630
107,agec-633
108,agec-642
109,agec-685
110,agec-690
111,agec-691
112,agec-692
113,agec-693
114,agec-694
115,agec-695
116,agri-120
117,agri-195
118,agri-196
119,agri-215
120,agri-310
121,agri-325
122,agri-330
123,agri-340
124,agri-401
125,agri-402
126,agri-405
127,agri-406
128,agri-410
129,agri-410D1
130,agri-410D2
131,agri-411
132,agri-430
133,agri-435
134,agri-452
135,agri-490
136,agri-493
137,agri-498
138,agri-499
139,agri-510
140,agri-519
141,agri-550
142,anae-301
143,anat-212
144,anat-214
145,anat-261
146,anat-262
147,anat-314
148,anat-315
149,anat-316
150,anat-321
151,anat-322
152,anat-323
153,anat-365
154,anat-381
155,anat-396
156,anat-416
157,anat-432
158,anat-432D1
159,anat-432D2
160,anat-458
161,anat-499
162,anat-514
163,anat-541
